_month,_year,month_year,interest_id,composition,index_value,ranking,percentile_ranking
5,2019,05-2019,44488,1.69,1.39,614,28.35
5,2019,05-2019,19588,1.64,1.39,614,28.35
5,2019,05-2019,10010,2.03,1.39,614,28.35
5,2019,05-2019,47065,1.61,1.39,614,28.35
5,2019,05-2019,33969,1.54,1.38,620,27.65
5,2019,05-2019,49974,1.83,1.38,620,27.65
5,2019,05-2019,38991,1.57,1.38,620,27.65
5,2019,05-2019,6331,1.64,1.38,620,27.65
5,2019,05-2019,13421,2.3,1.38,620,27.65
5,2019,05-2019,19520,1.84,1.38,620,27.65
5,2019,05-2019,22091,2.08,1.38,620,27.65
5,2019,05-2019,4926,1.89,1.38,620,27.65
5,2019,05-2019,38992,1.95,1.37,628,26.72
5,2019,05-2019,45685,1.69,1.37,628,26.72
5,2019,05-2019,18807,1.75,1.37,628,26.72
5,2019,05-2019,10838,1.65,1.37,628,26.72
5,2019,05-2019,4921,1.78,1.37,628,26.72
5,2019,05-2019,21326,2.05,1.37,628,26.72
5,2019,05-2019,5961,2.35,1.36,634,26.02
5,2019,05-2019,40700,1.78,1.36,634,26.02
5,2019,05-2019,5929,2.25,1.36,634,26.02
5,2019,05-2019,20730,2.09,1.36,634,26.02
5,2019,05-2019,18647,1.78,1.36,634,26.02
5,2019,05-2019,48460,1.84,1.36,634,26.02
5,2019,05-2019,6182,1.88,1.36,634,26.02
5,2019,05-2019,22095,1.58,1.36,634,26.02
5,2019,05-2019,48,2.45,1.36,634,26.02
5,2019,05-2019,41553,1.63,1.36,634,26.02
5,2019,05-2019,4859,2.01,1.36,634,26.02
5,2019,05-2019,6076,1.56,1.36,634,26.02
5,2019,05-2019,6267,1.86,1.36,634,26.02
5,2019,05-2019,7461,3.3,1.36,634,26.02
5,2019,05-2019,21236,3.01,1.36,634,26.02
5,2019,05-2019,6115,2.29,1.35,649,24.27
5,2019,05-2019,12132,1.83,1.35,649,24.27
5,2019,05-2019,21241,1.98,1.35,649,24.27
5,2019,05-2019,42479,1.81,1.35,649,24.27
5,2019,05-2019,4848,1.78,1.35,649,24.27
5,2019,05-2019,28,3.07,1.35,649,24.27
5,2019,05-2019,34637,1.6,1.35,649,24.27
5,2019,05-2019,40691,1.88,1.35,649,24.27
5,2019,05-2019,4866,1.84,1.35,649,24.27
5,2019,05-2019,5926,2.41,1.35,649,24.27
5,2019,05-2019,40191,1.93,1.35,649,24.27
5,2019,05-2019,45679,2.06,1.35,649,24.27
5,2019,05-2019,44485,1.56,1.35,649,24.27
5,2019,05-2019,49973,1.67,1.34,662,22.75
5,2019,05-2019,10978,2.07,1.34,662,22.75
5,2019,05-2019,5945,2.68,1.34,662,22.75
5,2019,05-2019,20814,2.81,1.34,662,22.75
5,2019,05-2019,92,1.78,1.34,662,22.75
5,2019,05-2019,6162,1.64,1.34,662,22.75
5,2019,05-2019,72,1.98,1.34,662,22.75
5,2019,05-2019,5,1.78,1.33,669,21.94
5,2019,05-2019,6183,1.99,1.33,669,21.94
5,2019,05-2019,6318,1.76,1.33,669,21.94
5,2019,05-2019,6257,2.16,1.33,669,21.94
5,2019,05-2019,22419,1.84,1.32,673,21.47
5,2019,05-2019,40434,1.78,1.32,673,21.47
5,2019,05-2019,4915,1.83,1.32,673,21.47
5,2019,05-2019,42,2.21,1.32,673,21.47
5,2019,05-2019,21243,1.86,1.32,673,21.47
5,2019,05-2019,44452,1.71,1.32,673,21.47
5,2019,05-2019,6124,2.13,1.32,673,21.47
5,2019,05-2019,42368,2.08,1.32,673,21.47
5,2019,05-2019,43549,1.65,1.31,681,20.54
5,2019,05-2019,6008,2.56,1.31,681,20.54
5,2019,05-2019,36883,1.66,1.31,681,20.54
5,2019,05-2019,44482,1.54,1.31,681,20.54
5,2019,05-2019,7483,1.75,1.31,681,20.54
5,2019,05-2019,71,1.56,1.31,681,20.54
5,2019,05-2019,38363,1.66,1.31,681,20.54
5,2019,05-2019,41857,1.78,1.31,681,20.54
5,2019,05-2019,116,1.67,1.3,689,19.6
5,2019,05-2019,19605,1.91,1.3,689,19.6
5,2019,05-2019,44582,1.73,1.3,689,19.6
5,2019,05-2019,18203,1.71,1.3,689,19.6
5,2019,05-2019,17452,1.92,1.3,689,19.6
5,2019,05-2019,112,1.65,1.3,689,19.6
5,2019,05-2019,45662,1.98,1.3,689,19.6
5,2019,05-2019,18781,1.66,1.3,689,19.6
5,2019,05-2019,65,1.99,1.3,689,19.6
